 ,BX,BY,Width,Height,Slice
1,90.370,84.074,1.667,1.667,1
2,90.185,83.333,2.037,2.222,32
3,89.815,82.963,2.963,2.963,49
4,89.259,82.407,4.259,4.444,60
5,88.333,81.667,6.111,6.111,69
6,87.037,80.000,9.074,9.074,80
7,86.111,79.074,11.111,10.926,87
8,85.000,77.778,13.704,13.519,97
9,83.889,76.667,15.926,15.556,108
10,83.148,75.926,17.407,17.037,118
11,82.778,75.000,18.704,18.333,128
12,82.593,74.259,19.074,18.519,136
13,84.815,75.556,15.185,15.741,143
14,86.296,76.667,12.222,11.111,147
15,86.296,76.667,0.185,0.370,150
16,94.815,79.074,2.222,2.222,1
17,94.444,78.333,2.222,2.222,86
18,93.704,77.778,2.963,2.963,105
19,92.963,77.222,4.259,4.259,113
20,92.037,76.481,5.741,5.741,119
21,90.926,75.741,7.778,7.593,125
22,89.815,74.815,9.444,9.444,131
23,88.148,73.519,12.037,12.037,140
24,87.037,72.778,13.704,13.704,148
25,85.741,71.667,15.556,15.556,157
26,84.444,70.741,17.593,17.407,169
27,83.519,70.185,18.704,18.519,185
28,82.778,69.444,19.444,19.259,196
29,83.704,70.741,15.556,16.296,206
30,82.778,70.741,0.370,0.370,220
